age,income,loan_amount,loan_term_months,credit_history_length,number_of_dependents,employment_status,property_owned,default
48,11430.950776987009,13425.62173282209,56,1,4,retired,rent,0
27,23673.81848964868,24076.55287985321,53,0,1,salaried,rent,0
29,12942.854997776982,25119.383443938004,50,23,5,self-employed,mortgage,0
28,15214.07919716037,10555.440041492175,36,23,4,salaried,mortgage,0
32,29125.529655695416,32952.56003220088,57,8,3,salaried,rent,0
54,12149.307767984053,39265.04846291843,43,21,5,salaried,own,0
53,31796.83847661455,39781.71350358643,35,11,4,salaried,rent,0
43,11202.786003782086,30521.021704469298,59,16,4,salaried,mortgage,0
44,30745.231920601997,26070.29054343169,58,29,1,salaried,own,0
57,10150.05461466616,3989.3500072643496,55,24,3,salaried,mortgage,0
55,16172.922309168802,15103.733643728687,20,27,5,salaried,own,0
64,56854.30327501021,5570.300892130325,51,28,2,salaried,own,0
60,51754.83749294986,48227.33488304521,34,14,0,salaried,mortgage,0
42,17921.16460869003,7618.927165062274,24,29,3,retired,own,0
47,26768.47834276835,8436.995082704001,43,18,2,self-employed,own,0
55,40216.55514831197,44589.254298194115,26,26,3,salaried,own,0
21,30966.09227366019,47252.485890346434,47,21,2,retired,own,0
55,19211.56800359196,38525.622922510585,16,9,2,self-employed,own,0
57,15148.887001356776,1264.8412599608237,33,28,3,salaried,own,0
34,33997.81617807919,1065.9672768716214,27,25,1,salaried,own,0
23,38768.046957804996,19526.937719585087,52,26,3,self-employed,mortgage,0
21,51940.33407813919,8026.373130533734,21,11,3,salaried,mortgage,0
25,9474.651879004197,1900.920965428267,35,13,2,self-employed,own,0
46,11771.511431479521,23739.26778082073,29,8,0,self-employed,rent,0
34,39377.969969236714,47210.032972941604,29,26,2,self-employed,own,0
59,10139.913298095218,16867.159170219136,18,12,4,retired,own,0
47,40915.93919392112,33395.893243006125,15,2,3,salaried,own,0
29,19782.11937894433,32959.5323034896,37,20,5,salaried,mortgage,0
35,16975.78320900099,13302.92507959322,16,28,3,unemployed,mortgage,0
35,24409.1733632137,32870.83719236935,27,13,1,salaried,own,0
46,11240.917788352956,11404.364740057672,46,20,5,self-employed,own,0
62,33256.56317406753,6978.363265267563,37,9,2,retired,own,0
33,51267.817691194876,35367.780992424814,29,15,1,self-employed,rent,0
52,34039.881718687866,6558.60003809192,40,6,3,salaried,rent,0
59,19472.249992791498,49848.55171087841,34,3,2,salaried,own,0
52,10208.562890076772,9989.167656361236,25,26,2,salaried,rent,0
24,10406.712107446954,30112.951275066418,26,19,4,salaried,own,0
50,11329.648717190285,21157.35399921688,44,22,4,self-employed,mortgage,0
57,21891.656499264165,7192.934697877688,36,24,0,self-employed,rent,0
43,23311.452249064292,2364.3514712932565,32,10,4,self-employed,own,0
59,34003.60255109974,31513.88183234883,28,15,5,salaried,rent,0
65,8973.09116130128,40531.12062566718,34,19,2,salaried,mortgage,0
35,42429.75293082213,42258.76741383046,54,3,4,self-employed,own,0
63,31169.743992842657,24652.960180769787,28,21,0,salaried,own,0
49,18705.66790549872,39095.317891936895,25,21,3,salaried,mortgage,0
56,12150.422588786709,33969.50954093869,40,22,5,self-employed,own,0
33,41133.177810972105,36488.47184745753,31,16,4,self-employed,own,0
52,18957.464147727773,25137.351255868893,41,12,2,salaried,own,0
27,21807.092727378258,32037.175271864227,30,10,3,unemployed,mortgage,0
42,26683.641678034575,40470.76976522679,50,29,2,salaried,rent,0
48,13952.312541700561,20496.324602294128,24,2,3,retired,mortgage,1
22,19128.0229794216,40492.9661425116,29,8,5,salaried,rent,0
62,33950.48610037262,30008.82529666408,34,5,2,salaried,own,0
65,32274.9943045376,9129.150194168526,57,21,4,unemployed,rent,0
26,32420.739445671403,2209.523704004646,44,20,4,salaried,rent,0
48,12362.341124337527,18774.92641955845,50,10,0,self-employed,own,0
48,19569.1538945718,27788.120086520652,51,15,3,unemployed,own,0
64,18066.290589725177,42151.19725797093,29,18,0,unemployed,own,0
64,27244.02257918655,7246.798326872064,20,26,1,retired,rent,0
40,26051.45747686929,40210.11103649538,44,4,4,salaried,mortgage,0
50,23806.493661656976,43287.44325729412,43,13,3,self-employed,rent,0
31,75573.95390279875,8383.686863040855,28,16,5,salaried,mortgage,0
48,19045.706221029566,42728.12164590673,30,2,0,salaried,own,0
45,17963.34293844333,49581.22482429681,38,3,5,unemployed,mortgage,1
59,12352.640993623972,36615.10272136364,17,15,5,salaried,mortgage,0
53,10209.524489276015,39453.71440942441,46,15,5,salaried,own,0
21,11966.200281908692,49726.348110384795,48,20,0,salaried,mortgage,0
47,15377.474722422245,30668.581275771325,45,25,1,self-employed,own,0
33,42405.63558884591,16086.43271879622,31,24,0,retired,mortgage,0
61,22462.03775097057,42039.01086972673,36,3,2,salaried,mortgage,1
23,24261.96880261822,31109.80309806993,15,18,4,salaried,rent,0
59,20991.300015695466,29478.575762326873,21,25,0,unemployed,rent,0
26,26440.45483920915,13428.142220187876,21,16,0,salaried,own,0
28,44401.83487628714,38060.37920956145,35,12,1,salaried,rent,0
47,8127.710746270867,5001.696517144716,32,25,2,salaried,own,0
29,40504.51214160363,46290.0664689384,22,21,0,salaried,rent,0
57,6263.414569250238,16965.349577753754,38,22,4,salaried,rent,0
53,22339.269117253993,7260.957986709532,27,25,4,unemployed,mortgage,0
62,65903.95127694999,22675.96012201852,37,23,0,salaried,own,0
64,30956.212029991682,3081.0255535701244,41,27,5,retired,mortgage,0
44,26543.21577521249,34546.68351898335,27,0,5,unemployed,mortgage,1
35,59932.4266117853,45232.570011822456,18,11,2,self-employed,rent,0
52,15498.035469934,42025.88734978693,27,3,4,salaried,own,0
52,27364.004141586473,7241.104198946173,46,10,5,salaried,own,0
44,29409.074105100677,7187.285718278861,27,4,4,salaried,own,0
61,16963.155252715,40858.28963388894,51,1,2,retired,rent,0
32,17728.785734870256,46288.45945555268,23,16,2,salaried,rent,0
59,16782.807585353192,23572.821661840968,46,7,5,salaried,mortgage,0
22,23009.38573266105,25449.58472877453,32,5,0,salaried,own,0
23,28950.588266633426,16594.84002790057,54,20,3,salaried,own,0
57,23426.312524309924,44818.990794564284,47,28,1,salaried,rent,0
37,31405.267377857745,32600.242359325443,59,8,3,salaried,mortgage,0
22,8229.054125664426,15124.327281201056,28,12,3,salaried,mortgage,0
22,19749.321555689523,15640.360681658329,43,10,4,salaried,mortgage,0
48,13204.20138698419,44668.80358011652,52,28,2,salaried,own,0
43,25613.15219973504,1668.067171385252,17,15,4,self-employed,rent,0
57,25424.249806256128,16813.60206360528,35,15,5,salaried,mortgage,0
52,20789.200882461406,28163.47737960208,38,26,1,salaried,own,0
53,28428.274369027626,8262.655642866906,31,1,5,salaried,own,0
21,36275.808266050546,5512.8389557799,36,9,0,salaried,own,0
39,21369.922865843357,40948.54022343744,13,11,1,retired,own,0
22,13018.836587224345,44825.815043776856,20,7,4,salaried,rent,0
64,9990.313120454659,41356.714619111284,39,10,4,self-employed,own,1
46,22427.767432299257,45040.606597130034,49,29,5,unemployed,own,0
52,24857.96120791102,28102.486581860205,14,9,4,unemployed,own,0
26,13564.86204664524,40800.647928526756,31,12,4,salaried,rent,0
52,31662.34540098899,19818.08928116392,17,24,3,salaried,own,0
24,17509.897248256337,33647.125212472885,50,16,0,self-employed,rent,0
31,9621.77047141935,49452.94103806906,44,6,3,salaried,own,0
37,41283.499495913784,12060.658468117244,12,23,4,unemployed,own,0
58,39026.413285426315,20105.08756826295,48,2,2,self-employed,own,0
44,8040.127993762123,24522.321488194197,17,29,3,self-employed,own,0
25,16625.6150307923,7762.758863982534,56,19,4,salaried,own,0
54,16304.691366708319,4970.8919127877825,45,12,4,self-employed,own,0
26,49998.302293746114,41656.42044975959,58,18,0,self-employed,mortgage,0
42,20959.63334037338,48862.924268551724,26,6,5,unemployed,rent,1
31,10426.030607071767,20831.528127653273,56,8,1,salaried,own,0
36,34236.66384654803,5294.84197353801,37,18,3,salaried,own,0
53,11903.791325233831,4224.776273838248,25,12,3,salaried,mortgage,0
29,19338.046480788104,44674.59211165464,18,21,3,salaried,rent,0
26,14989.654783719321,23726.898236656318,57,7,4,salaried,own,0
36,16643.45709417743,16681.338511557202,42,21,0,retired,rent,0
49,35193.93497105972,24346.602290730578,35,17,4,salaried,rent,0
23,47130.00286306778,16596.90063992502,42,28,4,unemployed,rent,0
40,11647.136407057891,24962.75299007338,40,22,5,salaried,own,0
56,30122.817280652453,43118.263448978905,53,1,2,salaried,own,0
39,15269.660810376527,30022.767182042688,43,17,0,salaried,own,0
46,15508.818009598548,35038.034867698596,28,17,3,salaried,mortgage,0
23,28150.43568496169,18868.863135482494,25,10,1,retired,rent,0
39,13174.634316265076,37186.78804701542,51,0,3,salaried,own,0
40,27869.86566445806,33664.23715908924,47,13,4,self-employed,mortgage,0
52,31731.23094726744,6858.537889850766,59,15,0,salaried,mortgage,0
27,17742.778537282204,29059.499802663646,35,10,0,retired,mortgage,0
61,42767.7268257524,13580.431319178142,56,0,0,salaried,mortgage,0
53,11656.132250824336,40400.687812046046,38,29,2,salaried,mortgage,0
60,43161.45347777479,21870.947714880032,36,6,3,salaried,own,0
59,8333.228917947536,49739.52409462787,43,28,2,salaried,mortgage,0
38,84953.30828158399,5532.5214590092255,29,15,5,salaried,mortgage,0
60,17977.906758346864,39237.045274267766,57,29,1,unemployed,own,0
21,12318.3638243911,34011.38494356567,29,13,5,self-employed,own,0
31,19607.433739569187,38607.442698944564,48,14,4,self-employed,mortgage,0
48,13052.840197002011,16068.959979032361,37,13,2,salaried,own,0
45,26728.418707841647,25110.669979737628,20,27,2,salaried,mortgage,0
43,43644.33042823277,40028.91746646171,46,20,5,salaried,own,0
51,13403.509933445146,12394.525249421895,19,10,4,retired,own,0
50,29427.933449678698,12075.626642643952,31,15,0,unemployed,own,0
62,10235.653192511949,28001.496711451688,53,18,4,unemployed,own,0
55,36918.843609778705,26654.615396962934,33,16,3,unemployed,rent,0
27,27122.480004410536,14830.861050233709,30,26,5,salaried,rent,0
36,37725.50465179853,15605.706875716316,41,25,4,salaried,own,0
46,20719.416787988976,14614.41299712171,39,5,0,salaried,own,0
22,17719.512297619698,38804.09103792589,46,10,4,salaried,own,0
21,33125.5020045711,32943.14241256057,54,16,2,salaried,own,0
32,11452.642166031812,41788.441987102386,22,8,1,salaried,rent,0
25,9214.999668529897,48798.178387387066,42,17,2,self-employed,own,0
57,21971.886042901384,24234.050517327334,59,16,1,unemployed,own,0
52,18127.795395908113,4268.000188866994,50,11,4,self-employed,own,0
29,29054.151646526883,3356.5232101897363,47,22,3,retired,own,0
61,38016.50597483599,15487.586924309338,41,21,4,salaried,own,0
55,28753.27749561742,46694.68487827009,34,21,0,salaried,own,0
39,36532.284516043,26637.43969357287,30,29,4,self-employed,mortgage,0
36,25861.90115071852,14317.539287926329,23,4,1,salaried,mortgage,0
23,28206.22209233369,20559.172931039957,26,10,2,salaried,mortgage,0
40,20778.44426858801,30331.16026282887,42,3,3,salaried,own,0
44,27792.534779551304,32994.53324875427,54,26,4,salaried,own,0
53,23940.4892229635,8542.055979362347,48,3,4,salaried,rent,0
44,25915.289411025406,48874.55215071362,48,2,2,salaried,rent,1
31,20264.74556224519,27693.839122156653,26,25,3,salaried,mortgage,1
28,33006.6587446829,7648.727571821686,40,23,5,self-employed,own,0
56,15440.878584214157,44788.12741396055,54,22,4,salaried,own,1
58,21825.307927608374,4657.283122892011,37,24,4,salaried,rent,0
60,42441.925010688254,45479.036225698124,55,16,5,salaried,mortgage,1
40,13706.68691250426,49831.717158160136,13,6,1,salaried,mortgage,0
55,7473.1903038132905,35321.15815866869,31,25,1,self-employed,rent,0
45,26455.74413169886,38751.9138326255,26,3,0,self-employed,mortgage,0
55,19370.81352652147,17527.838986906834,15,22,2,self-employed,rent,0
45,36513.27310523546,47137.26578396276,33,12,3,salaried,mortgage,0
49,20634.969416163236,26955.984339310013,49,11,4,salaried,mortgage,0
38,16282.243940125894,36887.033883280186,34,0,4,salaried,mortgage,0
38,21207.099826924514,46281.27807965269,37,20,0,salaried,own,0
22,38045.35552061975,48783.818822799905,22,18,4,salaried,own,0
55,29368.70156348399,41827.01347323704,39,20,2,salaried,rent,0
36,6522.733866571821,15847.85784211947,13,19,0,salaried,own,0
61,24170.39330579936,48360.828311052035,19,17,2,self-employed,mortgage,1
56,24782.203312963306,31777.857030935018,40,10,0,salaried,own,0
53,21826.38891499406,46601.481341246035,22,19,4,self-employed,own,0
24,16229.00016066423,34129.14626490324,48,2,0,salaried,rent,0
53,40025.25613633656,16054.709130538304,29,28,1,salaried,own,0
34,41028.284515401756,19131.20168299798,25,16,3,retired,own,0
41,7320.396481201261,27973.117078044084,21,11,4,retired,own,0
40,14779.853185477506,39710.72723643422,46,9,5,salaried,rent,0
28,20488.820488665468,16581.14501567641,20,7,3,salaried,own,0
27,35392.460699824675,29406.827140575413,46,14,4,salaried,mortgage,0
23,22413.67265900808,17935.624685243674,22,4,3,salaried,own,0
37,15649.63855097962,40972.70082712025,55,3,1,unemployed,mortgage,0
53,31406.394217143363,23869.67659462957,23,25,3,retired,own,0
32,19817.72379064377,4759.418515791376,14,27,0,self-employed,own,0
42,20770.719766753737,9136.573552595282,50,20,3,salaried,own,0
42,21729.385268027305,3994.128713361982,25,19,4,self-employed,own,0
50,29353.122864159886,25465.844354701938,39,18,5,salaried,rent,0
58,18877.48458625432,6210.527570063131,22,20,5,retired,own,0
58,31053.70010621572,6592.8584961719735,50,3,2,unemployed,own,0
65,21236.26294775279,47111.364741880476,36,14,3,salaried,rent,0
28,12919.4822989241,43760.09853662671,32,16,5,salaried,own,0
47,21625.140894950233,23152.243243756933,21,11,3,salaried,own,0
47,13258.488906064555,49304.460721660085,54,2,5,salaried,rent,0
54,22482.519944218875,1009.1398803624926,26,9,3,unemployed,mortgage,0
41,33347.46260415226,31084.993357396295,30,14,4,salaried,own,0
50,12876.83831386396,31204.980691221634,59,9,3,salaried,own,0
53,26426.87339183154,23414.709737624522,33,23,4,salaried,mortgage,0
48,14551.964356745015,20450.45067378035,32,22,4,unemployed,own,0
53,24363.716599646494,23313.773638549774,55,17,2,salaried,mortgage,0
25,33863.80828998695,21333.06136790434,43,0,5,unemployed,own,0
39,7594.985173929706,36794.13139663267,34,2,0,unemployed,mortgage,1
24,12616.51673571919,7632.416313690919,24,20,4,retired,own,0
55,18315.633750845893,10684.321808965376,16,25,5,salaried,mortgage,0
37,25784.27901263686,9845.393191228757,15,26,1,salaried,own,0
64,20268.19799348612,13861.058670941962,39,11,3,salaried,rent,0
48,21526.92183162444,26737.66252029758,25,0,1,salaried,own,0
50,61174.900551844825,6449.228619572717,19,2,3,salaried,own,0
49,12013.320569428384,43540.2954709987,20,2,2,self-employed,rent,0
26,38860.84658403473,15570.715034115143,46,4,4,salaried,rent,0
55,18490.473572714145,8964.361385966684,48,18,0,unemployed,mortgage,0
61,28990.90375801994,34105.444170313924,32,28,4,salaried,own,0
57,63861.58448868993,2866.2287293666445,29,24,3,self-employed,mortgage,0
44,31080.596970517,31378.459678834046,44,0,0,self-employed,own,0
49,26535.741919233646,35211.72310314849,19,3,4,self-employed,mortgage,1
51,48999.29393870127,11530.91003794924,28,28,0,unemployed,mortgage,0
55,38653.75960190377,3056.23959873808,54,28,3,self-employed,own,0
53,14769.255409806172,18818.62258705303,42,25,2,retired,mortgage,0
41,25521.139079185017,5831.117281854888,45,25,2,salaried,mortgage,0
52,9332.443278552153,6707.414633993517,17,3,4,salaried,own,0
43,16813.262791495774,13458.800340798363,33,16,1,salaried,rent,0
53,25771.5508892221,15477.928306711206,25,13,3,salaried,own,0
23,16300.439075990256,26968.54671004961,14,17,4,salaried,mortgage,0
38,25252.574072828065,34241.20238964764,23,26,4,salaried,own,0
45,21879.550056376305,30045.776102639054,47,0,2,salaried,own,0
62,28802.237849055742,8269.656527186324,23,21,0,salaried,own,0
51,17816.86017811291,9432.215590178695,56,15,3,salaried,rent,0
23,13765.56610008636,44059.69323985281,13,2,0,retired,mortgage,0
60,46122.83364005831,28359.26343814157,13,22,5,salaried,mortgage,0
44,17191.17807584758,43626.95381198676,26,20,5,self-employed,own,0
52,30638.274180257355,19205.779054673843,34,8,3,salaried,own,0
42,45144.48997700368,31105.60036413487,40,22,1,retired,rent,0
43,23892.861218109334,26659.507386675927,28,3,5,unemployed,rent,0
22,14354.90127703189,16637.051001202664,43,20,2,self-employed,own,0
47,20144.669928911317,24025.85322964617,18,4,1,self-employed,own,0
62,36635.4070797323,25622.05296451967,41,10,4,salaried,rent,0
22,24419.170349581123,10837.77776307725,39,20,5,retired,own,0
46,12057.342674220614,16435.508246459845,25,25,2,unemployed,rent,0
37,29682.766883292516,39779.077774841804,55,8,4,unemployed,rent,0
60,32362.82720160051,45873.62373325223,41,25,1,self-employed,mortgage,0
53,18441.227404120906,18629.910583719673,28,2,3,salaried,rent,0
29,29885.305621830732,16041.64182824189,43,5,4,unemployed,own,0
63,24897.166921591714,10564.661064022244,57,23,0,salaried,mortgage,0
59,19956.002029486423,34246.06726387848,17,10,3,salaried,rent,0
49,11536.049243579553,16831.88538165053,35,8,3,salaried,own,0
62,37758.917334121914,49399.72741586024,17,28,1,retired,rent,0
46,32196.257560861835,16958.55530113371,38,14,1,salaried,own,0
55,29494.029947537645,20312.66629234878,29,22,2,salaried,mortgage,0
45,47679.79498119998,30563.375614389704,35,27,2,salaried,own,0
44,35333.85553137692,40282.53036637394,48,2,0,self-employed,rent,0
33,31047.792911370136,24006.414601936052,35,0,3,self-employed,own,0
27,7283.642256138446,21710.14565565896,49,19,0,salaried,own,0
56,40072.57547266455,49786.253846145606,45,28,0,salaried,mortgage,0
65,22960.721109328515,1514.1884158572777,51,21,1,self-employed,mortgage,0
40,25751.44034172639,44858.199153711044,58,18,0,retired,own,0
21,25839.680540766734,8307.900471047134,26,13,0,unemployed,own,0
28,32432.502801388862,39510.338534236755,22,16,4,salaried,own,0
36,38603.08653878627,31278.646432468602,33,21,2,retired,rent,0
34,30246.04077825708,17750.51698940651,35,13,2,salaried,rent,0
32,27935.199254548294,43819.8728205299,12,16,3,salaried,rent,0
43,24729.604549004172,1632.4541710686067,29,24,2,salaried,rent,0
35,4122.416260977575,12107.84195167126,55,26,5,salaried,mortgage,0
48,19076.347393467284,28777.747016227266,23,13,3,self-employed,own,0
54,13755.6543129344,18225.570742435204,54,11,4,salaried,own,0
22,40350.931925139615,30908.497270598054,39,15,2,salaried,rent,0
52,30016.982960167825,2181.3994770246745,51,0,4,salaried,mortgage,0
43,17517.076890015254,6706.487593603913,18,12,2,salaried,rent,0
42,18419.062428474834,7227.715770703523,34,5,2,salaried,rent,0
45,18088.095946078563,10274.898649884462,32,16,4,salaried,rent,0
42,17927.424652378344,23507.240599226596,45,11,0,salaried,mortgage,0
42,10697.028570992097,37854.30627763499,22,22,0,self-employed,own,0
62,9598.482128698986,45371.40305851615,33,18,0,self-employed,own,1
26,22348.698958303346,41933.25398392806,53,5,5,self-employed,mortgage,0
35,37709.11304963332,10647.505717008495,46,6,0,salaried,mortgage,0
63,16833.986894981,22616.377059300987,40,0,2,unemployed,own,0
57,25635.21767396976,10771.168290168216,53,0,1,retired,own,0
53,31797.102828261945,13959.119016692348,39,28,4,unemployed,own,0
28,13404.032817735251,25673.80209408242,29,4,1,self-employed,own,0
64,21807.566716499365,4337.342211452604,25,5,5,salaried,mortgage,0
64,15783.806042045639,11690.542150070387,29,15,1,retired,own,0
25,49171.022034131776,46833.529904048744,39,24,3,salaried,mortgage,0
59,48109.250391303874,23839.69834026596,35,15,0,salaried,own,0
24,13410.973652126648,22823.93977291574,19,13,5,salaried,rent,0
26,26713.977026106426,1713.790582812666,53,0,2,salaried,own,0
65,37563.93337961917,13122.587605858944,56,12,0,retired,rent,0
52,33663.34201294263,43448.32936312688,19,19,0,salaried,rent,0
50,22943.306507266814,9066.792984674768,15,9,1,salaried,rent,0
55,42331.159746440724,21341.122037201334,38,23,3,self-employed,own,0
60,14013.026713498737,1702.2143874830613,47,9,0,salaried,own,0
36,18929.058891928922,24438.438601857237,16,8,4,salaried,own,0
33,14202.578194762298,2030.0342295846406,44,12,4,self-employed,own,0
62,32573.252246900844,41160.868100224194,45,2,0,self-employed,rent,0
50,16459.886239065363,41417.83460686808,41,26,1,salaried,rent,0
39,20218.946963896877,39599.367226816124,19,17,1,self-employed,rent,0
37,29996.475911660316,14884.839375664791,50,19,2,salaried,rent,0
39,31229.703522893276,42024.623692869085,58,1,5,salaried,own,1
48,13994.740044209237,27606.908497658194,37,16,5,salaried,own,0
46,37358.94457785767,19316.597334483118,48,27,5,salaried,own,0
57,27662.827801856856,31641.168025507417,45,18,3,unemployed,mortgage,1
